Définition d'un intervalle \(I\);\(\forall x \in I, \forall y \in I, [x,y] \subset I\);\(\forall x \in I, \forall y \in I, \frac{x+y}{2} \in I\);\(\forall x \in I, \forall y \in I, x < y \implies [x,y] \cap I = \emptyset\);\(\forall x \in I, \forall y \in I, x \le y\);Un sous-ensemble I de \(\mathbb{R}\) est un intervalle si et seulement si pour tous x, y dans I, le segment [x, y] est inclus dans I.
Valeur absolue d'un produit \(|xy|\);\(|x||y|\);\(|x|+|y|\);\(|x|-|y|\);\(\frac{|x|}{|y|}\);La valeur absolue d'un produit est égale au produit des valeurs absolues : \(|xy| = |x||y|\).
Inégalité triangulaire \(|x+y|\);\(\le |x|+|y|\);\(\ge |x|+|y|\);\(= |x|+|y|\);\(\le |x|-|y|\);Pour tous réels x et y, \(|x+y| \le |x|+|y|\).
Valeur absolue d'un quotient \(|\frac{x}{y}|\);\(\frac{|x|}{|y|}\);\(\frac{|y|}{|x|}\);\(|x||y|\);\(|x|-|y|\);La valeur absolue d'un quotient est égale au quotient des valeurs absolues (pour \(y \neq 0\)).
Notation produit cartésien;\((x,y) \in \mathbb{R} \times \mathbb{R}\);\((x,y) \in \mathbb{R} + \mathbb{R}\);\((x,y) \in \mathbb{R} \cdot \mathbb{R}\);\([x,y] \in \mathbb{R}^2\);Le produit cartésien \(\mathbb{R} \times \mathbb{R}\) désigne l'ensemble des couples \((x,y)\) de nombres réels.
Relation trigonométrique fondamentale;\(\cos^{2}(x)+\sin^{2}(x)=1\);\(\cos^{2}(x)-\sin^{2}(x)=1\);\(\cos(x)+\sin(x)=1\);\(\cos^{2}(x)+\sin^{2}(x)=0\);Pour tout réel x, \(\cos^2(x) + \sin^2(x) = 1\).
Parité du cosinus;\(\cos(-x)=\cos(x)\);\(\cos(-x)=-\cos(x)\);\(\cos(-x)=\sin(x)\);\(\cos(-x)=-\sin(x)\);La fonction cosinus est paire, d'où \(\cos(-x) = \cos(x)\).
Parité du sinus;\(\sin(-x)=-\sin(x)\);\(\sin(-x)=\sin(x)\);\(\sin(-x)=\cos(x)\);\(\sin(-x)=-\cos(x)\);La fonction sinus est impaire, d'où \(\sin(-x) = -\sin(x)\).
Déphasage sinus/cosinus;\(\cos(x)=\sin(x+\frac{\pi}{2})\);\(\cos(x)=\sin(x-\frac{\pi}{2})\);\(\cos(x)=\sin(x+\pi)\);\(\cos(x)=-\sin(x+\frac{\pi}{2})\);\(\cos(x)\) s'obtient en déphasant \(\sin(x)\) de \(\frac{\pi}{2}\) vers la gauche : \(\cos(x)=\sin(x+\frac{\pi}{2})\).
Déphasage cosinus/sinus;\(\sin(x)=\cos(x-\frac{\pi}{2})\);\(\sin(x)=\cos(x+\frac{\pi}{2})\);\(\sin(x)=\cos(x-\pi)\);\(\sin(x)=-\cos(x-\frac{\pi}{2})\);\(\sin(x)\) s'obtient en déphasant \(\cos(x)\) de \(\frac{\pi}{2}\) vers la droite : \(\sin(x)=\cos(x-\frac{\pi}{2})\).
Valeur de \(\tan(0)\);\(0\);\(1\);\(\sqrt{3}\);\(\frac{1}{\sqrt{3}}\);\(\tan(0) = \frac{\sin(0)}{\cos(0)} = \frac{0}{1} = 0\).
Valeur de \(\tan(\frac{\pi}{4})\);\(1\);\(0\);\(\frac{\sqrt{2}}{2}\);\(\sqrt{3}\);\(\tan(\frac{\pi}{4}) = \frac{\sin(\pi/4)}{\cos(\pi/4)} = \frac{\sqrt{2}/2}{\sqrt{2}/2} = 1\).
Valeur de \(\tan(\frac{\pi}{2})\);\(N.D\) (Non Défini);\(0\);\(1\);\(\infty\);\(\tan(\frac{\pi}{2})\) n'est pas définie car \(\cos(\frac{\pi}{2}) = 0\).
Valeur de \(\tan(\frac{\pi}{6})\);\(\frac{1}{\sqrt{3}}\);\(\sqrt{3}\);\(1\);\(\frac{\sqrt{3}}{2}\);\(\tan(\frac{\pi}{6}) = \frac{\sin(\pi/6)}{\cos(\pi/6)} = \frac{1/2}{\sqrt{3}/2} = \frac{1}{\sqrt{3}}\).
Valeur de \(\tan(\frac{\pi}{3})\);\(\sqrt{3}\);\(\frac{1}{\sqrt{3}}\);\(1\);\(\frac{\sqrt{3}}{2}\);\(\tan(\frac{\pi}{3}) = \frac{\sin(\pi/3)}{\cos(\pi/3)} = \frac{\sqrt{3}/2}{1/2} = \sqrt{3}\).
Valeur de \(\tan(\pi)\);\(0\);\(1\);\(-1\);\(N.D\) (Non Défini);\(\tan(\pi) = \frac{\sin(\pi)}{\cos(\pi)} = \frac{0}{-1} = 0\).
Formule \(\cos(x+\pi)\);\(-cos(x)\);\(\cos(x)\);\(-sin(x)\);\(\sin(x)\);Ajouter \(\pi\) à l'argument inverse le signe du cosinus : \(\cos(x+\pi) = -\cos(x)\).
Formule \(\sin(x+\pi)\);\(-sin(x)\);\(\sin(x)\);\(-cos(x)\);\(\cos(x)\);Ajouter \(\pi\) à l'argument inverse le signe du sinus : \(\sin(x+\pi) = -\sin(x)\).
Formule \(\tan(x+\pi)\);\(\tan(x)\);\(- \tan(x)\);\(\frac{1}{\tan(x)}\);\(- \frac{1}{\tan(x)}\);La fonction tangente est \(\pi\)-périodique, donc \(\tan(x+\pi) = \tan(x)\).
