Question;Correct;Wrong1;Wrong2;Wrong3;Explanation
Condition pour que deux vecteurs \(\vec{u}\) et \(\vec{v}\) soient colinéaires;\(\lambda\vec{u}+\mu\vec{v}=0\);\(\lambda\vec{u}+\mu\vec{v} \neq 0\);\(\vec{u} \cdot \vec{v} = 0\);\(det(\vec{u},\vec{v}) = 1\);Deux vecteurs sont colinéaires s'il existe une combinaison linéaire non triviale nulle. Le produit scalaire nul indique une orthogonalité.
Condition pour que \((\vec{u},\vec{v})\) forment une base;\(\lambda\vec{u}+\mu\vec{v} \neq 0\);\(\lambda\vec{u}+\mu\vec{v} = 0\);\(det(\vec{u},\vec{v}) = 0\);\(\vec{u} \cdot \vec{v} = 0\);Pour former une base dans le plan, les deux vecteurs doivent être non colinéaires (combinaison linéaire nulle impossible sans coefficients nuls).
Formule du produit scalaire \((\vec{u}|\vec{v})\) utilisant l'angle;\(||\vec{u}|| \cdot ||\vec{v}|| \cos(\vec{u},\vec{v})\);\(||\vec{u}|| \cdot ||\vec{v}|| \sin(\vec{u},\vec{v})\);\(||\vec{u}|| \cdot ||\vec{v}|| \tan(\vec{u},\vec{v})\);\(||\vec{u}|| + ||\vec{v}||\);Le produit scalaire est défini géométriquement par le produit des normes et du cosinus de l'angle entre les vecteurs.
Formule du produit scalaire \((\vec{u}|\vec{v})\) avec les coordonnées \(x, y\) et \(x', y'\);\(\vec{u} \cdot \vec{v} = xx' + yy'\);\(\vec{u} \cdot \vec{v} = xy' - yx'\);\(\vec{u} \cdot \vec{v} = xx' - yy'\);\(\vec{u} \cdot \vec{v} = x + x' + y + y'\);En base orthonormée, le produit scalaire correspond à la somme des produits des coordonnées sur chaque axe.
Propriété de symétrie du produit scalaire;\((\vec{u}|\vec{v}) = (\vec{v}|\vec{u})\);\((\vec{u}|\vec{v}) = -(\vec{v}|\vec{u})\);\((\vec{u}|\vec{v}) = \frac{1}{(\vec{v}|\vec{u})}\);\((\vec{u}|\vec{v}) = 0\);Le produit scalaire est une forme bilinéaire symétrique, l'ordre des vecteurs n'a donc pas d'importance.
Formule du déterminant \(det(\vec{u},\vec{v})\) utilisant l'angle;\(||\vec{u}|| \cdot ||\vec{v}|| \sin(\vec{u},\vec{v})\);\(||\vec{u}|| \cdot ||\vec{v}|| \cos(\vec{u},\vec{v})\);\(||\vec{u}|| \cdot ||\vec{v}|| \tan(\vec{u},\vec{v})\);\(\sin(\vec{u},\vec{v})\);Le déterminant dans le plan fait intervenir le sinus de l'angle orienté entre les vecteurs.
Formule de calcul du déterminant avec les coordonnées;\(xy' - yx'\);\(xx' + yy'\);\(xy' + yx'\);\(xx' - yy'\);Le déterminant de deux vecteurs (x,y) et (x',y') se calcule par un produit en croix: xy' - yx'.
Interprétation géométrique de \(det(\vec{u},\vec{v})\);Aire algébrique du parallélogramme porté par \(\vec{u}\) et \(\vec{v}\);Périmètre du parallélogramme porté par \(\vec{u}\) et \(\vec{v}\);Volume du parallélépipède;Longueur de la diagonale;En dimension 2, la valeur absolue du déterminant de deux vecteurs donne l'aire du parallélogramme qu'ils définissent.
Relation entre \(det(\vec{v},\vec{u})\) et \(det(\vec{u},\vec{v})\);\(-det(\vec{u},\vec{v})\);\(det(\vec{u},\vec{v})\);\(\frac{1}{det(\vec{u},\vec{v})}\);\(0\);Le déterminant est une forme antisymétrique: échanger l'ordre de deux vecteurs change le signe du résultat.
Vecteur normal à une droite d'équation \(ax + by + c = 0\);\(\vec{n}(a, b)\);\(\vec{n}(-b, a)\);\(\vec{n}(b, a)\);\(\vec{n}(a, -b)\);Dans une équation cartésienne ax + by + c = 0, les coefficients a et b correspondent directement aux coordonnées d'un vecteur normal.
Vecteur directeur d'une droite d'équation \(ax + by + c = 0\);\(\vec{u}(-b, a)\);\(\vec{u}(a, b)\);\(\vec{u}(b, a)\);\(\vec{u}(-a, b)\);Un vecteur directeur est orthogonal au vecteur normal (a, b). Le produit scalaire de (a,b) et (-b,a) est nul.
Système d'équations paramétriques d'une droite passant par \(A(x_A, y_A)\) de vecteur directeur \((\alpha, \beta)\);\(\begin{cases}x = \alpha t + x_A \\ y = \beta t + y_A \end{cases}\);\(\begin{cases}x = x_A t + \alpha \\ y = y_A t + \beta \end{cases}\);\(\begin{cases}x = \beta t + x_A \\ y = \alpha t + y_A \end{cases}\);\(\begin{cases}x = \alpha t - x_A \\ y = \beta t - y_A \end{cases}\);Les paramètres t multiplient les composantes du vecteur directeur, et on ajoute les coordonnées du point de départ A.
Formule de la distance d'un point \(A\) à une droite \(ax+by+c=0\);\(\frac{|ax_A+by_A+c|}{\sqrt{a^2+b^2}}\);\(\frac{ax_A+by_A+c}{a^2+b^2}\);\(\frac{|ax_A+by_A+c|}{a^2+b^2}\);\(\frac{(ax_A+by_A+c)^2}{\sqrt{a^2+b^2}}\);La distance d'un point à une droite s'obtient en évaluant l'équation de la droite au point A et en divisant par la norme du vecteur normal.
Équation cartésienne d'un cercle de centre \(A(x_A, y_A)\) et de rayon \(r\);\((x-x_A)^2 + (y-y_A)^2 = r^2\);\((x+x_A)^2 + (y+y_A)^2 = r^2\);\((x-x_A)^2 - (y-y_A)^2 = r^2\);\((x-x_A) + (y-y_A) = r\);L'équation d'un cercle découle du théorème de Pythagore (norme au carré) appliqué à la distance entre le centre A et un point (x,y) du cercle.
