Question;Correct;Wrong1;Wrong2;Wrong3;Explanation
"Quelle est la définition de la somme partielle d'ordre \(n\) d'une série \(\sum u_k\) ?";"\(S_n = \sum_{k=0}^n u_k\)";"\(S_n = \sum_{k=0}^{+\infty} u_k\)";"\(S_n = \sum_{k=n}^{+\infty} u_k\)";"\(S_n = u_n - u_0\)";"La somme partielle d'ordre \(n\) est la somme des \(n+1\) premiers termes de la suite (de \(k=0\) à \(n\))."
"Quel est le lien entre la suite des sommes partielles \((S_n)_n\) et la convergence de la série \(\sum u_n\) ?";"\((S_n)_n\) converge \(\iff \sum u_n\) converge";"\((S_n)_n\) tend vers 0 \(\iff \sum u_n\) converge";"\((S_n)_n\) est bornée \(\iff \sum u_n\) converge";"\((S_n)_n\) diverge \(\iff \sum u_n\) converge";"Par définition, la série \(\sum u_n\) converge si et seulement si la suite de ses sommes partielles \((S_n)_n\) admet une limite finie."
"Quelle est la relation entre le terme général \(u_n\) et les sommes partielles \(S_n\) pour \(n \ge 1\) ?";"\(u_n = S_n - S_{n-1}\)";"\(u_n = S_{n+1} + S_n\)";"\(u_n = S_n / S_{n-1}\)";"\(u_n = S_{n-1} - S_n\)";"Comme \(S_n = \sum_{k=0}^n u_k\) et \(S_{n-1} = \sum_{k=0}^{n-1} u_k\), la différence donne \(u_n = S_n - S_{n-1}\)."
"Quelle est la définition du reste d'ordre \(n\) \(R_n\) d'une série convergente \(\sum_{k=0}^{+\infty} u_k\) ?";"\(R_n = S - S_n = \sum_{k=n+1}^{+\infty} u_k\)";"\(R_n = S_n - S = \sum_{k=0}^n u_k\)";"\(R_n = \sum_{k=0}^n u_k\)";"\(R_n = \sum_{k=n}^{+\infty} u_k\)";"Le reste d'ordre \(n\) représente la somme des termes négligés à partir du rang \(n+1\), soit \(R_n = S - S_n = \sum_{k=n+1}^{+\infty} u_k\)."
"Quelle est la condition nécessaire de convergence pour une série \(\sum u_n\) ?";"Si \(\sum u_n\) converge \(\implies \lim_{n \to +\infty} u_n = 0\)";"Si \(\lim_{n \to +\infty} u_n = 0 \implies \sum u_n\) converge";"Si \(\sum u_n\) converge \(\implies \lim_{n \to +\infty} u_n = 1\)";"Si \(\sum u_n\) converge \(\implies (u_n)\) est monotone";"Pour qu'une série converge, son terme général doit obligatoirement tendre vers 0. La réciproque est fausse (ex: la série harmonique)."
"Qu'appelle-t-on la divergence grossière d'une série \(\sum u_n\) ?";"Si \(\lim u_n \neq 0\), alors \(\sum u_n\) diverge grossièrement";"Si \(\lim u_n = 0\), alors \(\sum u_n\) diverge grossièrement";"Si \((u_n)\) n'est pas monotone, la série diverge grossièrement";"Si \(\sum u_n\) tend vers \(+\infty\), elle diverge grossièrement";"Si le terme général \(u_n\) ne tend pas vers 0 (soit il a une limite non nulle, soit pas de limite), la condition nécessaire n'est pas vérifiée et la série diverge grossièrement."
"Soient deux séries convergentes \(\sum u_n = S_1\) et \(\sum v_n = S_2\). Que vaut la somme \(\sum (\lambda u_n + \mu v_n)\) ?";"Elle converge vers \(\lambda S_1 + \mu S_2\)";"Elle converge vers \(\lambda S_1 \times \mu S_2\)";"Elle diverge dans tous les cas";"Elle converge vers \(S_1 + S_2\) sans dépendre de \(\lambda\) et \(\mu\)";"L'espace des séries convergentes est un espace vectoriel et la somme infinie est une application linéaire."
"Pour une série à termes positifs \(\sum u_n\) (\(u_n \ge 0\)), à quelle condition la série converge-t-elle ?";"\(\sum u_n\) converge \(\iff (S_n)\) est majorée";"\(\sum u_n\) converge \(\iff (S_n)\) est minorée";"\(\sum u_n\) converge \(\iff u_n\) est croissante";"\(\sum u_n\) converge \(\iff (S_n)\) diverge vers \(+\infty\)";"Pour une série à termes positifs, la suite des sommes partielles \((S_n)\) est croissante. Une suite croissante converge si et seulement si elle est majorée."
"Soient \(0 \le u_n \le v_n\). Que dit le théorème de comparaison pour les séries à termes positifs ?";"Si \(\sum v_n\) converge \(\implies \sum u_n\) converge";"Si \(\sum u_n\) converge \(\implies \sum v_n\) converge";"Si \(\sum v_n\) diverge \(\implies \sum u_n\) converge";"Si \(\sum u_n\) diverge \(\implies \sum v_n\) converge";"Si la série de terme général plus grand \(\sum v_n\) converge, la série plus petite \(\sum u_n\) converge aussi. Par contraposée, si \(\sum u_n\) diverge, \(\sum v_n\) diverge."
"Que dit la règle de d'Alembert pour une série à termes strictly positifs avec \(\lim \frac{u_{n+1}}{u_n} = l\) ?";"Si \(l < 1 \implies \sum u_n\) converge";"Si \(l > 1 \implies \sum u_n\) converge";"Si \(l < 1 \implies \sum u_n\) diverge";"Si \(l = 0 \implies \sum u_n\) diverge";"Si le rapport \(\frac{u_{n+1}}{u_n}\) tend vers une limite \(l < 1\), la série est comparée à une série géométrique de raison \(l < 1\), donc elle converge."
