Question;Correct;Wrong1;Wrong2;Wrong3;Explanation
Définition d'un espace vectoriel \(E\) sur \(K\);Ensemble muni de deux lois : une loi de composition interne (addition) et une loi externe (multiplication par un scalaire).;Ensemble muni d'une seule loi de composition interne stable par produit scalaire.;Ensemble de nombres réels muni d'une relation d'ordre total et d'une distance normée.;Ensemble muni de deux lois externes uniquement : l'addition et la multiplication vectorielle.;Un espace vectoriel nécessite une loi interne (addition vectorielle) formant un groupe abélien et une loi externe (multiplication par un scalaire de K).
Propriétés de la loi interne (addition);Groupe commutatif (abélien) : associative, commutative, possède un élément neutre \(0_E\) et un opposé.;Corps commutatif : associative, distributive et possède un élément neutre \(1_E\).;Anneau non commutatif : associative, commutative et sans élément neutre.;Magma associatif sans élément neutre ni opposé pour les éléments non nuls.;La structure pour la loi interne est un groupe abélien (ou commutatif), associatif, commutatif, avec neutre 0_E et existence d'un opposé pour tout élément.
Propriétés de la loi externe (produit);Associative, distributive (par rapport aux vecteurs et scalaires), possède un élément neutre \(1\).;Commutative, bijective et possédant un élément neutre \(0\).;Uniquement distributive par rapport aux scalaires mais pas par rapport aux vecteurs.;Toujours involutive et strictement positive.;La loi externe vérifie 1.u = u, l'associativité mixte a(bu)=(ab)u, et la distributivité par rapport à la somme de scalaires et la somme de vecteurs.
Formule de l'associativité de la loi interne;\(\forall(u,v,w)\in E, u+(v+w)=(u+v)+w\);\(\forall(u,v,w)\in E, u+(v+w)=(u+v)+w+0_E\);\(\forall(u,v)\in E, u+v=v+u\);\(\forall(u,v,w)\in E, u(v+w)=uv+uw\);L'associativité garantit que le parenthésage de l'addition de trois vecteurs n'influe pas sur le résultat : u+(v+w)=(u+v)+w.
Formule de la commutativité de la loi interne;\(\forall(u,v)\in E, u+v=v+u\);\(\forall(u,v)\in E, u+v=0_E\);\(\forall(u,v,w)\in E, u+(v+w)=(u+v)+w\);\(\forall u\in E, \lambda u = u \lambda\);La commutativité signifie que l'ordre des termes dans l'addition n'a pas d'importance : u+v = v+u.
Élément neutre de l'addition;\(\forall u\in E, u+0_E=u\);\(\forall u\in E, u+1_E=u\);\(\forall u\in E, u+u=0_E\);\(\forall u\in E, u+(-u)=1_E\);L'élément neutre de l'addition est noté 0_E, tel que l'ajouter à n'importe quel vecteur u donne u.
Distributivité par somme de scalaires;\(\lambda(u+v)=\lambda u+\lambda v\);\((\lambda+\mu)u=\lambda u+\mu u\);\(\lambda(uv)=(\lambda u)v\);\(\lambda(u+v)=\lambda u + v\);Distribuer un scalaire lambda sur une somme de vecteurs (u+v) donne lambda*u + lambda*v.
Distributivité par somme de vecteurs;\((\lambda+\mu)u = \lambda u + \mu u\);\(\lambda(u+v) = \lambda u + \lambda v\);\((\lambda \mu) u = \lambda u + \mu u\);\((\lambda+\mu)u = \lambda \mu u\);La distributivité par rapport aux scalaires permet de distribuer un vecteur u sur la somme de deux scalaires (lambda + mu).
Définition d'un sous-espace vectoriel (s.e.v) \(F\);\(0_E \in F\) et \(F\) est stable par combinaison linéaire (stable par addition et loi externe).;\(F\) est un sous-ensemble fini de \(E\) contenant uniquement des scalaires non nuls.;\(0_E \notin F\) et \(F\) est stable par produit scalaire et norme.;\(F \subset E\) tel que \(\dim F = \dim E\) et \(F\) est ouvert dans \(E\).;Pour qu'une partie F de E soit un sous-espace vectoriel, F doit être non vide (contenir 0_E) et être stable par combinaison linéaire.
Définition d'une combinaison linéaire (c.l.);Somme de la forme \(\sum \lambda_i u_i\). L'ensemble des c.l. est noté \(\text{vect}(u,v)\).;Produit de la forme \(\prod \lambda_i u_i\). L'ensemble est noté \(\text{Ker}(f)\).;Somme infinie divergente de scalaires uniquement.;Intersection des familles génératrices notée \(\text{Im}(f)\).;Une combinaison linéaire de vecteurs u_i avec scalaires lambda_i est la somme sum(lambda_i * u_i). L'ensemble de toutes les c.l. forme Vect(u,v).
Intersection de deux s.e.v \(F_1\) et \(F_2\);\(F_1 \cap F_2\) est toujours un sous-espace vectoriel.;\(F_1 \cap F_2\) n'est jamais un sous-espace vectoriel sauf si \(F_1 = E\).;\(F_1 \cap F_2\) est égal à l'ensemble vide \(\emptyset\).;\(F_1 \cap F_2\) est un sous-espace vectoriel seulement si \(F_1 \cup F_2\) l'est aussi.;L'intersection de sous-espaces vectoriels est toujours un sous-espace vectoriel.
Somme de deux s.e.v \(F_1 + F_2\);Le plus petit sous-espace vectoriel contenant \(F_1 \cup F_2\).;La réunion brute \(F_1 \cup F_2\) de tous leurs éléments.;L'intersection des sous-espaces orthogonaux à \(F_1\) et \(F_2\).;Le produit cartésien \(F_1 \times F_2\).;La somme F1 + F2 est formée de tous les vecteurs u1 + u2 (avec u1 dans F1 et u2 dans F2). C'est le plus petit s.e.v. contenant F1 U F2.
Définition d'une somme directe \(F_1 + F_2\);La somme est unique et l'intersection est nulle : \(F_1 \cap F_2=\{0_E\}\).;L'intersection est égale à \(E\) tout entier.;La somme contient tous les vecteurs orthogonaux avec \(F_1 \cup F_2 = E\).;La réunion de \(F_1\) et \(F_2\) est égale au noyau de l'application identité.;Deux s.e.v F1 et F2 sont en somme directe si leur intersection est réduite au vecteur nul {0_E}.
Sous-espaces supplémentaires;Deux s.e.v \(F\) et \(G\) sont supplémentaires si \(F \oplus G = E\).;Si \(F \cap G = E\) et \(F \cup G = \{0_E\}\).;Si \(\dim F + \dim G = 0\).;Si \(F \subset G\) ou \(G \subset F\).;F et G sont supplémentaires dans E si F et G sont en somme directe et leur somme vaut E (F \oplus G = E).
Dimension d'une somme directe;Si \(F\) et \(G\) sont en somme directe, \(\dim(F+G) = \dim F + \dim G\).;\(\dim(F+G) = \dim F \times \dim G\).;\(\dim(F+G) = \dim F + \dim G - \dim(F \cup G)\).;\(\dim(F+G) = \max(\dim F, \dim G)\).;Pour des s.e.v. en somme directe, l'intersection est nulle donc dim(F+G) = dim F + dim G.
Définition d'une famille génératrice;\(\forall x \in E, \exists (\lambda_1...\lambda_p) \in K^p\) tel que \(x = \sum_{i=1}^{p}\lambda_{i}u_{i}\).;\(\forall (\lambda_1...\lambda_p) \in K^p, \sum_{i=1}^{p}\lambda_{i}u_{i} = 0_E \implies \lambda_i = 0\).;Une famille dont l'intersection des éléments est égale à \(\{0_E\}\).;Une famille ne contenant que des vecteurs unitaires orthogonaux deux à deux.;Une famille est génératrice si tout vecteur de l'espace s'exprime comme combinaison linéaire de ses éléments.
Base canonique de \(K^n\);\(B=(e_1, e_2, ..., e_n)\) avec \(e_i = (0, ..., 1, ..., 0)\) où le 1 est à la i-ème position.;\(B=(1, 1, ..., 1)\) répété \(n\) fois.;\(B=(X, X^2, ..., X^n)\).;\(B=(e_{i,j})\) où toutes les composantes valent 1.;La base canonique de K^n est formée des n-uplets e_i ayant un 1 à la i-ème position et 0 ailleurs.
