Définition d'une combinaison linéaire;\(\sum_{i=1}^{n}\lambda_{i}\vec{v_{i}}\);\(\prod_{i=1}^{n}\lambda_{i}\vec{v_{i}}\);\(\sum_{i=1}^{n}(\vec{v_{i}} \cdot \vec{v_{i}})\);\(\sum_{i=1}^{n}||\vec{v_{i}}||\);Une combinaison linéaire de vecteurs consiste en une somme de ces vecteurs pondérés par des scalaires lambda_i.
Condition d'une famille liée;Il existe des scalaires non tous nuls tels que \(\sum_{i=1}^{n}\lambda_{i}\vec{u_{i}}=\vec{0}\);Pour tous scalaires non tous nuls \(\sum_{i=1}^{n}\lambda_{i}\vec{u_{i}}=\vec{0}\);\(\sum_{i=1}^{n}\lambda_{i}\vec{u_{i}}=\vec{0} \Rightarrow \lambda_{1}=\dots=\lambda_{n}=0\);Tous les scalaires lambda_i doivent être nuls simultanément;Une famille est liée si au moins un des vecteurs peut s'exprimer comme combinaison linéaire des autres d'où l'existence de scalaires non tous nuls.
Condition d'une famille libre;\(\sum_{i=1}^{n}\lambda_{i}\vec{u_{i}}=\vec{0} \Rightarrow \lambda_{1}=\lambda_{2}=\cdot\cdot\cdot=\lambda_{n}=0\);Il existe des scalaires non tous nuls tels que \(\sum_{i=1}^{n}\lambda_{i}\vec{u_{i}}=\vec{0}\);\(\sum_{i=1}^{n}\lambda_{i}\vec{u_{i}} \neq \vec{0}\);\(\lambda_{1}+\lambda_{2}+\dots+\lambda_{n}=0\);Une famille est libre si la seule combinaison linéaire nulle de ses vecteurs est celle dont tous les coefficients sont nuls.
Définition géométrique du produit scalaire \((\vec{u}|\vec{v})\);\(\begin{cases}0 \text{ si un vecteur est nul} \\ ||\vec{u}|| \cdot ||\vec{v}|| \cos(\vec{u},\vec{v}) \text{ sinon}\end{cases}\);\(\begin{cases}0 \text{ si un vecteur est nul} \\ ||\vec{u}|| \cdot ||\vec{v}|| \sin(\vec{u},\vec{v}) \text{ sinon}\end{cases}\);\(||\vec{u}|| + ||\vec{v}|| \cos(\vec{u},\vec{v})\);\(\frac{||\vec{u}||}{||\vec{v}||} \cos(\vec{u},\vec{v})\);Le produit scalaire géométrique fait intervenir les normes des deux vecteurs et le cosinus de l'angle qu'ils forment.
Expression analytique du produit scalaire;\(xx' + yy' + zz'\);\(xy' + yz' + zx'\);\(xx' - yy' + zz'\);\(x+x' + y+y' + z+z'\);Dans un repère orthonormal le produit scalaire de u(x y z) et v(x' y' z') est la somme des produits de leurs coordonnées respectives.
Propriétés du produit scalaire;Il est bilinéaire, symétrique et défini positif;Il est bilinéaire, antisymétrique et non associatif;Il est linéaire, symétrique et alternatif;Il est bilinéaire, symétrique et négatif;Le produit scalaire est une forme bilinéaire symétrique définie positive.
Définition de la norme d'un vecteur;\(||\vec{u}||=\sqrt{(\vec{u}|\vec{u})}\);\(||\vec{u}||=(\vec{u}|\vec{u})^{2}\);\(||\vec{u}||=\sqrt{(\vec{u}\wedge\vec{u})}\);\(||\vec{u}||=\frac{(\vec{u}|\vec{u})}{2}\);La norme euclidienne d'un vecteur u est la racine carrée du produit scalaire de ce vecteur avec lui-même.
Propriétés du produit vectoriel \(\vec{u}\wedge\vec{v}\);Il est bilinéaire, antisymétrique et non associatif;Il est bilinéaire, symétrique et défini positif;Il est associatif, commutatif et bilinéaire;Il est linéaire, alternatif et symétrique;Le produit vectoriel est antisymétrique (u^v = -v^u) et n'est pas associatif.
Calcul du produit mixte \([\vec{u},\vec{v},\vec{w}]\);Déterminant \(3 \times 3\) formé par les coordonnées des trois vecteurs;Produit scalaire des trois vecteurs \((\vec{u}|\vec{v}|\vec{w})\);Somme des normes des trois vecteurs;Déterminant \(2 \times 2\) formé par deux des trois vecteurs;Le produit mixte [u,v,w] vaut det(u,v,w), c'est-à-dire le déterminant de la matrice dont les colonnes sont les coordonnées des trois vecteurs.
Condition pour que les vecteurs \(\vec{u}, \vec{v}, \vec{w}\) soient coplanaires;\([\vec{u},\vec{v},\vec{w}]=0\);\([\vec{u},\vec{v},\vec{w}]=1\);\(\vec{u} \cdot \vec{v} \cdot \vec{w} = 0\);\(\vec{u}\wedge\vec{v}\wedge\vec{w}=\vec{0}\);Trois vecteurs sont coplanaires si et seulement si leur déterminant (produit mixte) est nul.
