Définition de la trajectoire \(\Gamma\);L'ensemble des points atteints lorsque \(\kappa \in D\) : \(\Gamma=\{M(t)/\kappa \in D\}\);L'ensemble des dérivées des points \(M(t)\) sur \(D\);L'ensemble des vecteurs tangents \(\vec{u}(t)\) pour \(t \in D\);La courbe asymptote reliant les points limites de \(D\);La trajectoire d'une courbe paramétrée est l'ensemble des positions occupées par le point \(M(t)\) lorsque le paramètre parcourt le domaine de définition.
Condition de continuité d'une fonction vectorielle \(f\);Elle est continue si et seulement si ses coordonnées \(f^{\circ}\) sont continues;Elle est continue si et seulement si sa norme est dérivable;Elle est continue si et seulement si son gradient est non nul partout;Elle est continue si et seulement si au moins une de ses coordonnées est continue;Une fonction vectorielle est continue en un point si et seulement si chacune de ses fonctions composantes scalaires (coordonnées) est continue en ce point.
Définition du vecteur dérivé (grad) en \(t_0\);\(grad f(t_{0})=(x^{\prime}(t_{0}), y^{\prime}(t_{0}))\);\(grad f(t_{0})=(x(t_{0})+y(t_{0}), x(t_{0})-y(t_{0}))\);\(grad f(t_{0})=(y^{\prime}(t_{0}), -x^{\prime}(t_{0}))\);\(grad f(t_{0})=\sqrt{x^{\prime}(t_{0})^2 + y^{\prime}(t_{0})^2}\);Le vecteur dérivé s'obtient en dérivant séparément chaque composante scalaire de la fonction vectorielle par rapport au paramètre \(t\).
Condition pour un point stationnaire \(M(t_0)\);Le point est stationnaire si et seulement si \(grad f(t_{0})=0\);Le point est stationnaire si et seulement si \(grad f(t_{0}) \neq 0\);Le point est stationnaire si et seulement si \(x^{\prime\prime}(t_0) = y^{\prime\prime}(t_0)\);Le point est stationnaire si et seulement si la pente de la tangente est nulle;Un point paramétré \(M(t_0)\) est dit stationnaire (ou critique) si le vecteur dérivé s'y annule, c'est-à-dire \(x^{\prime}(t_0)=0\) et \(y^{\prime}(t_0)=0\).
Dérivée du produit par une fonction numérique \(\varphi(t)\);\(grad (\varphi f)(t_{0})=\varphi^{\prime}(t_{0}) f(t_{0}) + \varphi(t_{0}) grad f(t_{0})\);\(grad (\varphi f)(t_{0})=\varphi^{\prime}(t_{0}) grad f(t_{0})\);\(grad (\varphi f)(t_{0})=\varphi(t_{0}) grad f(t_{0}) - \varphi^{\prime}(t_{0}) f(t_{0})\);\(grad (\varphi f)(t_{0})=\varphi^{\prime}(t_{0}) + grad f(t_{0})\);La règle de dérivation du produit d'une fonction scalaire et d'une fonction vectorielle suit la formule de Leibniz: \((\varphi f)' = \varphi' f + \varphi f'\).
Calcul de la pente de la tangente;\(lim_{t\rightarrow t_{0}}\frac{y(t)-y(t_{0})}{x(t)-x(t_{0})}\);\(lim_{t\rightarrow t_{0}}\frac{x(t)-x(t_{0})}{y(t)-y(t_{0})}\);\(lim_{t\rightarrow t_{0}}(y(t)x(t) - y(t_0)x(t_0))\);\(lim_{t\rightarrow t_{0}}\frac{y^\prime(t)+x^\prime(t)}{t-t_0}\);La pente de la tangente correspond à la limite du taux d'accroissement de \(y\) par rapport à \(x\) lorsque \(t\) tend vers \(t_0\), égale à \(\frac{y'(t_0)}{x'(t_0)}\) si \(x'(t_0) \neq 0\).
Condition de périodicité par translation (quasi-périodicité);Il existe \(T>0\) et un vecteur \(\vec{u}=(\alpha, \beta)\) tels que \(\vec{OM}(t+T)=\vec{OM}(t)+\vec{u}\);Il existe \(T>0\) tel que \(\vec{OM}(t+T)=-\vec{OM}(t)\);Il existe \(T>0\) tel que \(\vec{OM}(t+T)=T \cdot \vec{OM}(t)\);Pour tout vecteur \(\vec{u}\), \(\vec{OM}(t+\|\vec{u}\|)=\vec{OM}(t)\);La quasi-périodicité signifie que l'image de la courbe après une période \(T\) se déduit de la précédente par une translation de vecteur \(\vec{u}\).
Équations scalaires de la périodicité par translation;\(x(t+T)=x(t)+\alpha\) et \(y(t+T)=y(t)+\beta\);\(x(t+T)=\alpha x(t)\) et \(y(t+T)=\beta y(t)\);\(x(t+T)=x(t)+T\) et \(y(t+T)=y(t)-T\);\(x(t+T)=-x(t)+\alpha\) et \(y(t+T)=-y(t)+\beta\);En coordonnées scalaires, la relation vectorielle \(\vec{OM}(t+T)=\vec{OM}(t)+\vec{u}\) se traduit par l'ajout des composantes \(\alpha\) et \(\beta\) à chaque coordonnée.
Définition d'une asymptote verticale;\(lim_{t\rightarrow t_{0}}x(t)=x_{0}\) et \(lim_{t\rightarrow t_{0}}y(t)=\pm\infty\);\(lim_{t\rightarrow t_{0}}x(t)=\pm\infty\) et \(lim_{t\rightarrow t_{0}}y(t)=y_{0}\);\(lim_{t\rightarrow \pm\infty}x(t)=x_{0}\) et \(lim_{t\rightarrow \pm\infty}y(t)=0\);\(lim_{t\rightarrow t_{0}}x(t)=0\) et \(lim_{t\rightarrow t_{0}}y(t)=0\);Une asymptote verticale d'équation \(x = x_0\) a lieu lorsque \(x(t)\) tend vers une valeur finie \(x_0\) tandis que \(y(t)\) tend vers l'infini.
Définition d'une asymptote horizontale;\(lim_{t\rightarrow \infty}x(t)=\pm\infty\) et \(lim_{t\rightarrow \infty}y(t)=y_{0}\);\(lim_{t\rightarrow t_{0}}x(t)=x_{0}\) et \(lim_{t\rightarrow t_{0}}y(t)=\pm\infty\);\(lim_{t\rightarrow \infty}x(t)=0\) et \(lim_{t\rightarrow \infty}y(t)=0\);\(lim_{t\rightarrow \infty}y(t)/x(t)=1\) et \(lim_{t\rightarrow \infty}(y(t)-x(t))=y_0\);Une asymptote horizontale d'équation \(y = y_0\) a lieu lorsque \(x(t)\) tend vers l'infini alors que \(y(t)\) tend vers une valeur finie \(y_0\).
