Définition valeur propre \( \lambda \) et vecteur propre \( v \);\( \exists v \in E \setminus \{0\} / f(v) = \lambda v \);\( \forall v \in E / f(v) = \lambda v \);\( \exists v \in E / f(v) = \lambda v \);\( \exists v \in E \setminus \{0\} / f(v) = 0_E \);Un vecteur propre est par définition non nul tel que f(v) = \lambda v.
Définition du sous-espace propre \( E_{\lambda}(f) \);\( E_{\lambda}(f) = \text{Ker}(f - \lambda \text{id}_E) \);\( E_{\lambda}(f) = \text{Im}(f - \lambda \text{id}_E) \);\( E_{\lambda}(f) = \text{Ker}(f + \lambda \text{id}_E) \);\( E_{\lambda}(f) = \text{Ker}(\lambda f - \text{id}_E) \);Le sous-espace propre associé à \lambda est le noyau de l'endomorphisme f - \lambda id_E.
Contenu du sous-espace propre;Contient les vecteurs propres et \( 0_E \);Contient uniquement les vecteurs propres;Contient tous les vecteurs de E;Ne contient que le vecteur nul \( 0_E \);Un vecteur propre est non nul, mais le sous-espace propre E_\lambda(f) contient aussi le vecteur nul.
Propriété de stabilité de \( E_{\lambda}(f) \);\( E_{\lambda}(f) \) est stable par \( f \);\( E_{\lambda}(f) \) est orthogonal à \( f \);\( E_{\lambda}(f) \) est toujours de dimension 1;\( E_{\lambda}(f) \) n'est jamais stable par \( f \);Pour tout v dans E_\lambda(f), f(v) = \lambda v \in E_\lambda(f), donc E_\lambda(f) est stable par f.
Propriété d'une famille de vecteurs propres à valeurs propres distinctes;La famille est libre;La famille est liée;La famille est une base de E;La famille est orthogonale;Une famille de vecteurs propres associés à des valeurs propres deux à deux distinctes est toujours libre.
Somme des sous-espaces propres;La somme \( E_{\lambda_1}(f) + \dots + E_{\lambda_n}(f) \) est directe;La somme est toujours égale à E;La somme n'est jamais directe;La somme est nulle;Les sous-espaces propres associés à des valeurs propres distinctes sont en somme directe.
Valeurs propres d'un projecteur \( p \);\( 0 \) et \( 1 \);\( -1 \) et \( 1 \);Seulement \( 1 \);N'importe quel réel;Comme p^2 = p, les seules valeurs propres possibles d'un projecteur p sont 0 et 1.
Sous-espaces d'un projecteur \( p \);\( E_0(p) = \text{Ker}(p) \) et \( E_1(p) = \text{Im}(p) \);\( E_0(p) = \text{Im}(p) \) et \( E_1(p) = \text{Ker}(p) \);\( E_{-1}(p) = \text{Ker}(p) \) et \( E_1(p) = \text{Im}(p) \);\( E_0(p) = \{0\} \) et \( E_1(p) = E \);Pour un projecteur p, Ker(p) est E_0(p) et Im(p) est E_1(p).
Valeurs propres d'une symétrie \( s \);\( -1 \) et \( 1 \);\( 0 \) et \( 1 \);Seulement \( 1 \);Seulement \( -1 \);Comme s^2 = id, les seules valeurs propres possibles d'une symétrie s sont -1 et 1.
Sous-espaces d'une symétrie \( s \);\( E_{-1}(s) = \text{Ker}(s + \text{id}) \) et \( E_1(s) = \text{Ker}(s - \text{id}) \);\( E_{-1}(s) = \text{Ker}(s - \text{id}) \) et \( E_1(s) = \text{Ker}(s + \text{id}) \);\( E_{-1}(s) = \text{Im}(s) \) et \( E_1(s) = \text{Ker}(s) \);\( E_{-1}(s) = \{0\} \) et \( E_1(s) = E \);E_1(s) = Ker(s - id) et E_-1(s) = Ker(s + id).
Condition pour que \( \lambda \) soit valeur propre;\( \det(\lambda \text{id}_E - f) = 0 \);\( \det(\lambda \text{id}_E - f) \neq 0 \);\( \text{tr}(f) = \lambda \);\( f(\lambda) = 0 \);\lambda est valeur propre ssi det(\lambda id - f) = 0.
Polynôme caractéristique \( \chi_f(x) \);\( \chi_f(x) = \det(XI_n - M) \);\( \chi_f(x) = \text{tr}(XI_n - M) \);\( \chi_f(x) = \det(M - XI_n)^{-1} \);\( \chi_f(x) = \text{Com}(M) \);Le polynôme caractéristique est det(XI_n - M).
