Question;Correct;Wrong1;Wrong2;Wrong3;Explanation
Quelle est la définition de l'unité imaginaire i ?;\(i^{2}=-1\);\(i^{2}=1\);\(i^{2}=0\);\(i=\sqrt{1}\);Par définition dans le corps des complexes \(\mathbb{C}\), l'unité imaginaire \(i\) vérifie \(i^{2}=-1\).
Quelle est la partie réelle du nombre complexe z = 2+3i ?;\(\text{Re}(2+3i)=2\);\(3\);\(3i\);\(2+3i\);Pour un complexe \(z = a + ib\) avec \(a, b \in \mathbb{R}\), la partie réelle \(\text{Re}(z)\) est le réel \(a\), donc ici \(\text{Re}(2+3i) = 2\).
Quelle est la partie imaginaire du nombre complexe z = 2+3i ?;\(\text{Im}(2+3i)=3\);\(3i\);\(2\);\(-3\);La partie imaginaire \(\text{Im}(z)\) d'un nombre complexe \(z = a + ib\) est le réel \(b\) (et non \(ib\)), soit ici \(3\).
Si z = a + ib (avec a,b dans R), quelle est l'expression de son conjugué ?;\(\overline{z}=a-ib\);\(\overline{z}=-a+ib\);\(\overline{z}=-a-ib\);\(\overline{z}=a+ib\);Le conjugué d'un nombre complexe s'obtient en changeant le signe de sa partie imaginaire, donc \(\overline{a+ib} = a-ib\).
Que vaut la double conjugaison pour tout nombre complexe z ?;\(\overline{\overline{z}}=z\);\(\overline{z}\);\(-z\);\(|z|^{2}\);Conjuguer deux fois de suite revient à changer deux fois le signe de la partie imaginaire, ce qui redonne le complexe d'origine : \(\overline{\overline{z}} = z\).
Quelle est la relation entre un complexe z, son conjugué et son module ?;\(z\overline{z}=|z|^{2}\);\(z\overline{z}=|z|\);\(z+\overline{z}=|z|^{2}\);\(z\overline{z}=2|z|\);Si \(z = a+ib\), alors \(z\overline{z} = (a+ib)(a-ib) = a^2 - (ib)^2 = a^2 + b^2 = |z|^2\).
Pour z = a + ib (a,b dans R), comment calcule-t-on le module |z| ?;\(\sqrt{a^{2}+b^{2}}\);\(a^{2}+b^{2}\);\(\sqrt{a^{2}-b^{2}}\);\(a+b\);Le module de \(z = a+ib\) correspond à la distance à l'origine dans le plan complexe, donnée par la formule \(\sqrt{a^2 + b^2}\).
Quelle est la propriété du module d'un quotient |z1/z2| (z2 non nul) ?;\(|\frac{z_{1}}{z_{2}}|=\frac{|z_{1}|}{|z_{2}|}\);\(|z_{1}| - |z_{2}|\);\(\frac{\overline{z_{1}}}{\overline{z_{2}}}\);\(|z_{1} z_{2}|\);Le module du quotient de deux complexes est égal au quotient de leurs modules : \(\left|\frac{z_1}{z_2}\right| = \frac{|z_1|}{|z_2|}\).
Quelle est la propriété du module d'un produit |z1 z2| ?;\(|z_{1}z_{2}|=|z_{1}||z_{2}|\);\(|z_{1}|+|z_{2}|\);\(|z_{1}|^{2}|z_{2}|^{2}\);\(\sqrt{|z_{1}||z_{2}|}\);Le module du produit de deux nombres complexes est égal au produit de leurs modules : \(|z_1 z_2| = |z_1| |z_2|\).
Quelles sont les formules pour exprimer un argument arg(z) de z=a+ib ?;\(\arctan(\frac{b}{a})\), \(\arcsin(\frac{b}{|z|})\) ou \(\arccos(\frac{a}{|z|})\);\(\arctan(\frac{a}{b})\), \(\arcsin(\frac{a}{|z|})\) ou \(\arccos(\frac{b}{|z|})\);\(\tan(\frac{b}{a})\), \(\sin(\frac{b}{|z|})\) ou \(\cos(\frac{a}{|z|})\);\(\arctan(a+b)\), \(\arcsin(a)\) ou \(\arccos(b)\);On utilise \(\cos(\theta)=\frac{a}{|z|}\) et \(\sin(\theta)=\frac{b}{|z|}\), ce qui donne \(\arccos(\frac{a}{|z|})\), \(\arcsin(\frac{b}{|z|})\), et lorsque \(a > 0\), \(\theta \equiv \arctan(\frac{b}{a}) [2\pi]\).
Quelle est la formule pour l'argument d'un produit arg(z1 z2) ?;\(\arg(z_{1})+\arg(z_{2})\);\(\arg(z_{1})\arg(z_{2})\);\(\arg(z_{1})-\arg(z_{2})\);\(\frac{\arg(z_{1})}{\arg(z_{2})}\);L'argument transforme le produit en somme, tout comme la fonction logarithme : \(\arg(z_1 z_2) \equiv \arg(z_1) + \arg(z_2) [2\pi]\).
Quelle est la formule pour l'argument d'un quotient arg(z1 / z2) ?;\(\arg(z_{1})-\arg(z_{2})\);\(\frac{\arg(z_{1})}{\arg(z_{2})}\);\(\arg(z_{1})+\arg(z_{2})\);\(\arg(z_{2})-\arg(z_{1})\);L'argument d'un quotient est égal à la différence des arguments : \(\arg\left(\frac{z_1}{z_2}\right) \equiv \arg(z_1) - \arg(z_2) [2\pi]\).
Quelle est la somme des complexes z1 = a1 + i b1 et z2 = a2 + i b2 ?;\((a_{1}+a_{2})+i(b_{1}+b_{2})\);\((a_{1}a_{2}) + i(b_{1}b_{2})\);\((a_{1}+b_{1}) + i(a_{2}+b_{2})\);\((a_{1}-a_{2})+i(b_{1}-b_{2})\);Pour additionner deux complexes, on additionne séparément leurs parties réelles et leurs parties imaginaires.
Quel est le produit des complexes z1 = a1 + i b1 et z2 = a2 + i b2 ?;\((a_{1}a_{2}-b_{1}b_{2})+i(a_{1}b_{2}+a_{2}b_{1})\);\((a_{1}a_{2}+b_{1}b_{2})+i(a_{1}b_{2}+a_{2}b_{1})\);\((a_{1}a_{2}-b_{1}b_{2})+i(a_{1}a_{2}+b_{1}b_{2})\);\(a_{1}a_{2} + i b_{1}b_{2}\);En développant \((a_1+ib_1)(a_2+ib_2) = a_1 a_2 + i a_1 b_2 + i b_1 a_2 + i^2 b_1 b_2\) et avec \(i^2 = -1\), on réorganise en partie réelle et imaginaire.
Quelle est l'expression sous forme algébrique/module de l'inverse 1/z (z non nul) ?;\(\frac{\overline{z}}{|z|^{2}}\);\(\frac{\overline{z}}{|z|}\);\(\frac{z}{|z|^{2}}\);\(\frac{-\overline{z}}{|z|^{2}}\);En multipliant au numérateur et au dénominateur par le conjugué \(\overline{z}\), on a \(\frac{1}{z} = \frac{\overline{z}}{z\overline{z}} = \frac{\overline{z}}{|z|^2}\).
