Question;Correct;Wrong1;Wrong2;Wrong3;Explanation
Symbole du quantificateur universel;\(\forall\);\(\exists\);\(\implies\);\(\in\);Le quantificateur universel "pour tout" est représenté par \(\forall\).
Symbole du quantificateur existentiel;\(\exists\);\(\forall\);\(\iff\);\(\subset\);Le quantificateur existentiel "il existe" est représenté par \(\exists\).
Opérateur logique de la disjonction;ou;et;non;implication;La disjonction correspond au "ou" logique.
Opérateur logique de la conjonction;et;ou;implication;équivalence;La conjonction correspond au "et" logique.
Symbole de l'implication;\(\implies\);\(\iff\);\(\to\);\(\mapsto\);L'implication logique est notée \(\implies\).
Symbole de l'équivalence;\(\iff\);\(\implies\);=;\(\equiv\);L'équivalence logique est notée \(\iff\).
Négation du quantificateur \(\exists\);\(\forall\);il n'existe pas;\(\emptyset\);\(\implies\);La négation de "il existe" est "pour tout" (\(\forall\)).
Négation du quantificateur \(\forall\);\(\exists\);aucun;\(\emptyset\);\(\iff\);La négation de "pour tout" est "il existe" (\(\exists\)).
Définition de la contraposée de \(P \implies Q\);\(\text{non}(Q) \implies \text{non}(P)\);\(\text{non}(P) \implies \text{non}(Q)\);\(Q \implies P\);\(P \implies \text{non}(Q)\);La contraposée inverse l'implication et prend la négation de chaque proposition.
Principe du raisonnement par l'absurde;On suppose que \(\text{non}(P)\) est vraie et on montre que cela aboutit à une contradiction;On suppose que \(P\) est vraie et on montre que cela aboutit à une contradiction;On montre que \(P\) est vraie pour un cas particulier;On démontre \(P\) en utilisant sa contraposée;Le raisonnement par l'absurde consiste à supposer la négation de la proposition pour arriver à une contradiction.
Étapes du raisonnement par récurrence;1. Définir \(n \mapsto P(n)\) 2. Initialisation 3. Hérédité 4. Conclusion;1. Initialisation 2. Conclusion;1. Hérédité 2. Initialisation 3. Conclusion;1. Définition 2. Preuve directe 3. Conclusion;Une récurrence complète comprend l'énoncé de la proposition, l'initialisation, l'hérédité et la conclusion.
Définition d'une application injective;\(\forall(x_{1},x_{2})\in E^{2}, f(x_{1})=f(x_{2}) \implies x_{1}=x_{2}\);\(\forall y\in F, \exists x\in E / y=f(x)\);\(\forall y\in F, \exists! x\in E / y=f(x)\);\(\exists x_1, x_2 \in E, f(x_1) = f(x_2) \implies x_1 = x_2\);L'injectivité signifie que deux éléments distincts ont des images distinctes (ou même image implique mêmes antécédents).
Définition d'une application surjective;\(\forall y\in F, \exists x\in E / y=f(x)\);\(\forall(x_{1},x_{2})\in E^{2}, f(x_{1})=f(x_{2}) \implies x_{1}=x_{2}\);\(\forall y\in F, \exists! x\in E / y=f(x)\);\(\forall x\in E, \exists y\in F / y=f(x)\);La surjectivité signifie que tout élément de l'ensemble d'arrivée possède au moins un antécédent.
Définition d'une application bijective;\(\forall y\in F, \exists! x\in E / y=f(x)\);\(\forall(x_{1},x_{2})\in E^{2}, f(x_{1})=f(x_{2}) \implies x_{1}=x_{2}\);\(\forall y\in F, \exists x\in E / y=f(x)\);\(\forall x\in E, \exists! y\in F / y=f(x)\);La bijectivité signifie que tout élément de l'ensemble d'arrivée possède un unique antécédent.
Exemple d'expression avec quantificateurs du document;\(\forall x \in \mathbb{R}, \exists y \in \mathbb{R} / xy = 1\);\(\exists x \in \mathbb{R}, \forall y \in \mathbb{R} / xy = 1\);\(\forall x \in \mathbb{R}, \forall y \in \mathbb{R} / xy = 1\);\(\exists x \in \mathbb{R}, \exists y \in \mathbb{R} / x+y = 1\);C'est un exemple formel du document exprimant que tout réel admet un inverse (ce qui est faux pour 0).
